  NAK      TPE
 DEPT  ARVL   EFF     DSC    FREQ   CC  TRAIN EQP ORG  DST DD INH PRI
 310P  328P 14JAN21 10APR21 S----FS AM   1655  H  NAK  BAC  0  N   N
 310P  328P 08FEB21 16FEB21 -MTW--- AM   1655  H  NAK  BAC  0  N   N
 320P  338P 14JAN21 10APR21    @    AM    141  H  NAK  BAC  0  N   N
 325P  345P 14JAN21 03JAN21 S---TF- AM   1537  H  NAK  BAC  0  N   N
 325P  345P 08FEB21 14FEB21    @    AM   1537  H  NAK  BAC  0  N   N
 335P  354P 14JAN21 10APR21    @    AM    657  H  NAK  BAC  0  N   N
 340P  358P 14JAN21 07FEB21 S----F- AM   1237  H  NAK  BAC  0  N   N
 340P  358P 08FEB21 16FEB21    @    AM   1237  H  NAK  BAC  0  N   N
 340P  358P 19FEB21 09APR21 S----F- AM   1237  H  NAK  BAC  0  N   N
 400P  418P 14JAN21 10APR21    @    AM    841  H  NAK  BAC  0  N   N
 410P  428P 14JAN21 10APR21    @    AM    661  H  NAK  BAC  0  N   N
 420P  438P 14JAN21 10APR21    @    AM    145  H  NAK  BAC  0  N   N
 425P  445P 14JAN21 09APR21 S----F- AM   1541  H  NAK  BAC  0  N   N
 425P  445P 08FEB21 13FEB21 -M-WT-S AM   1541  H  NAK  BAC  0  N   N
 425P  445P 09FEB21 16FEB21 --T---- AM   1541  H  NAK  BAC  0  N   N
 435P  454P 14JAN21 10APR21    @    AM    663  H  NAK  BAC  0  N   N
 440P  458P 14JAN21 09APR21 SMTWTF- AM   1241  H  NAK  BAC  0  N   N
 440P  458P 13FEB21 13FEB21 ------S AM   1241  H  NAK  BAC  0  N   N
 500P  518P 14JAN21 10APR21    @    AM    845  H  NAK  BAC  0  N   N
 510P  528P 14JAN21 10APR21    @    AM    667  H  NAK  BAC  0  N   N
 520P  538P 14JAN21 10APR21    @    AM    149  H  NAK  BAC  0  N   N
 525P  545P 14JAN21 09APR21 S----F- AM   1545  H  NAK  BAC  0  N   N
 525P  545P 08FEB21 13FEB21 -MTW--S AM   1545  H  NAK  BAC  0  N   N
 535P  554P 14JAN21 10APR21    @    AM    669  H  NAK  BAC  0  N   N
 540P  558P 14JAN21 07FEB21 S---TF- AM   1245  H  NAK  BAC  0  N   N
 540P  558P 08FEB21 16FEB21    @    AM   1245  H  NAK  BAC  0  N   N
 540P  558P 18FEB21 09APR21 S---TF- AM   1245  H  NAK  BAC  0  N   N
 600P  618P 14JAN21 10APR21    @    AM    849  H  NAK  BAC  0  N   N
 610P  628P 14JAN21 10APR21    @    AM    673  H  NAK  BAC  0  N   N
 620P  638P 14JAN21 10APR21    @    AM    153  H  NAK  BAC  0  N   N
